PRO-CTCAE System ID, EQ5D, term_eng, term_spanish, value_eng, value_spanish
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have slight problems doing my usual activities', 'Tengo problemas leves para realizar mis actividades de todos los días'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have moderate problems doing my usual activities', 'Tengo problemas moderados para realizar mis actividades de todos los días'
10089, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I have severe problems doing my usual activities', 'Tengo problemas graves para realizar mis actividades de todos los días'
10091, EQ5D-5L,"USUAL ACTIVITIES (e.g. work, study, housework, family or leisure activities)", "ACTIVIDADES DE TODOS LOS DÍAS (Ej. trabajar, estudiar, hacer las tareas domésticas, actividades familiares o actividades de ocio)",'I am unable to do my usual activities', 'No puedo realizar mis actividades de todos los días'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have no pain or discomfort', 'No tengo dolor ni malestar'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have slight pain or discomfort', 'Tengo dolor o malestar leve'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have moderate pain or discomfort', 'Tengo dolor o malestar moderado'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have severe pain or discomfort', 'Tengo dolor o malestar intenso'
10090, EQ5D-5L,'PAIN/DISCOMFORT', 'DOLOR/MALESTAR','I have extreme pain or discomfort', 'Tengo dolor o malestar extremo'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am not anxious or depressed', 'No estoy ansioso/a ni deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am slightly anxious or depressed', 'Estoy levemente ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am moderately anxious or depressed', 'Estoy moderadamente ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am severely anxious or depressed', 'Estoy muy ansioso/a o deprimido/a'
10091, EQ5D-5L,'ANXIETY/DEPRESSION', "ANSIEDAD/DEPRESIÓN",'I am extremely anxious or depressed', 'Estoy extremadamente ansioso/a o deprimido/a'
