Language,PRO-CTCAE Term,Attribute,Core Item,Language specific PRO-CTCAE Term Display,Language specific PRO-CTCAE Question Display,,Clinician Display Term,Clinician Display Category,Gender,Response Option - 1,Response Option - 2,Response Option - 3,Response Option - 4,Response Option - 5,Response Option - 6,Response Option - 7
,Anxiety,2-Frequency,X,Ansiedad,Con qué FRECUENCIA SENTIR ANSIEDAD,,Anxiety,Psychiatric disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Feelings that nothing could cheer you up,2-Frequency,,Sentimientos que nada podía animarle,Con qué FRECUENCIA SENTIR QUE NADA PUEDE ANIMARTE,,Depression,Psychiatric disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Loss of control of bowel movements,2-Frequency,,La pérdida de control de los movimientos intestinales,Con qué FRECUENCIA SE PIERDE EL CONTROL DE LOS MOVIMIENTOS INTESTINALES,,Fecal incontinence,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , No aplica,
,Pounding or racing heartbeat (palpitations),2-Frequency,,Latidos fuertes o rápidos latidos del corazón (palpitaciones),Con qué FRECUENCIA te sientes un LATIDOS FUERTES O RÁPIDOS LATIDOS CARDÍACOS (PALPITACIONES),,Palpitations,Cardiac disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Sudden urges to urinate,2-Frequency,,Repentina de orinar,"Con qué FRECUENCIA siente GANAS DE ORINAR, DE REPENTE",,Urinary urgency,Renal and urinary disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , No aplica,
,Headache,2-Frequency,X,Dolor de cabeza,Con qué FRECUENCIA usted tiene un DOLOR DE CABEZA,,Headache,Nervous system disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,"Aching joints (such as elbows, knees, shoulders)",2-Frequency,,"Dolor en las articulaciones (como los codos, rodillas, hombros)","Con qué FRECUENCIA usted tiene DOLOR EN LAS ARTICULACIONES (COMO LOS CODOS, RODILLAS, HOMBROS)",,Arthralgia,Musculoskeletal and connective tissue disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Aching muscles,2-Frequency,,Dolores musculares,Con qué FRECUENCIA usted tiene DOLOR EN LOS MÚSCULOS,,Myalgia,Musculoskeletal and connective tissue disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Arm or leg swelling,2-Frequency,X,Brazo o la inflamación de las piernas,Con qué FRECUENCIA usted tiene O EDEMA,,Edema limbs,General disorders and administration site conditions,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Bloating of the abdomen (belly),2-Frequency,,Distensión del abdomen (panza),Con qué FRECUENCIA usted tiene HINCHAZÓN DEL ABDOMEN (PANZA),,Abdominal distension,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Ejaculation problems,2-Frequency,,problemas de eyaculación,Con qué FRECUENCIA han EYACULACIÓN PROBLEMAS,,Ejaculation disorder,Reproductive system and breast disorders,male,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , Prefiere no contestar,
,Heartburn,2-Frequency,,Acidez estomacal,Con qué FRECUENCIA tiene ACIDEZ ESTOMACAL,,Dyspepsia,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Hiccups,2-Frequency,,El hipo,Con qué FRECUENCIA tienen HIPO,,Hiccups,"Respiratory, thoracic and mediastinal disorders",both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Hot flashes,2-Frequency,,Sofocos,Con qué FRECUENCIA tienen SOFOCOS,,Hot flashes,Vascular disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Loose or watery stools (diarrhea),2-Frequency,X,Deposiciones blandas o acuosas (diarrea),Con qué FRECUENCIA han SUELTAS O ACUOSAS HECES (DIARREA),,Diarrhea,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , No aplica,
,Loss of control of urine (leakage),2-Frequency,,La pérdida de control de la orina (de fuga),Con qué FRECUENCIA han PÉRDIDA DE CONTROL DE ORINA (FUGA),,Urinary incontinence,Renal and urinary disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre , No aplica,
,Nausea,2-Frequency,X,Náuseas,Con qué FRECUENCIA tiene NÁUSEAS,,Nausea,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Nosebleeds,2-Frequency,,Las hemorragias nasales,Con qué FRECUENCIA usted tiene SANGRADO POR LA NARIZ,,Epistaxis,"Respiratory, thoracic and mediastinal disorders",both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Pain,2-Frequency,X,Dolor,Con qué FRECUENCIA usted tiene DOLOR,,Pain,General disorders and administration site conditions,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Pain in the abdomen (belly area),2-Frequency,,Dolor en el abdomen (área del vientre),Con qué FRECUENCIA usted tiene DOLOR EN EL ABDOMEN (ÁREA DEL VIENTRE),,Abdominal pain,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Sad or unhappy feelings,2-Frequency,X,Triste o infeliz sentimientos,Con qué FRECUENCIA han TRISTE O INFELIZ SENTIMIENTOS,,Depression,Psychiatric disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Shivering or shaking chills,2-Frequency,,Escalofríos o escalofríos,Con qué FRECUENCIA usted tiene ESCALOFRÍOS O ESCALOFRÍOS,,Chills,General disorders and administration site conditions,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Unexpected or excessive sweating during the day or nighttime (not related to hot flashes),2-Frequency,,Inesperados o sudoración excesiva durante el día o la noche (no relacionado con sofocos),Con qué FRECUENCIA han INESPERADOS O SUDORACIÓN EXCESIVA DURANTE EL DIA O NOCHE (NO RELACIONADOS CON SOFOCOS),,Hyperhidrosis,Skin and subcutaneous tissue disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Vomiting,2-Frequency,X,Vómitos,Con qué FRECUENCIA usted tiene VÓMITO,,Vomiting,Gastrointestinal disorders,both,Nunca , Casi nunca , De vez en cuando , Frecuentes , Casi siempre,,
,Ringing in your ears,3-Severity,,Zumbido en sus oídos,Lo que fue la SEVERIDAD de ZUMBIDO EN LOS OÍDOS SU en su PEOR,,Tinnitus,Ear and labyrinth disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Skin cracking at the corners of your mouth,3-Severity,,Agrietamiento de la piel en las comisuras de su boca,Lo que fue la SEVERIDAD de AGRIETAMIENTO DE LA PIEL EN LAS COMISURAS DE LA BOCA en su PEOR,,"Skin and subcutaneous tissue disorders - Other, specify (Cheilitis)",Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,"Aching joints (such as elbows, knees, shoulders)",3-Severity,,"Dolor en las articulaciones (como los codos, rodillas, hombros)","Cuál fue la SEVERIDAD de su DOLOR EN LAS ARTICULACIONES (COMO LOS CODOS, RODILLAS, HOMBROS) en su PEOR",,Arthralgia,Musculoskeletal and connective tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Aching muscles,3-Severity,,Dolores musculares,Cuál fue la SEVERIDAD de sus DOLORES MUSCULARES en su PEOR,,Myalgia,Musculoskeletal and connective tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Acne or pimples on the face or chest,3-Severity,,El acné o espinillas en la cara o el pecho,Cuál fue la SEVERIDAD de su ACNÉ O ESPINILLAS EN EL PECHO O EN LA CARA en su PEOR,,Rash acneiform,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Anxiety,3-Severity,X,Ansiedad,Lo que fue la SEVERIDAD de la ANSIEDAD en su PEOR,,Anxiety,Psychiatric disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Arm or leg swelling,3-Severity,X,Brazo o la inflamación de las piernas,Cuál fue la GRAVEDAD de su BRAZO O PIERNA HINCHAZÓN en su PEOR,,Edema limbs,General disorders and administration site conditions,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Bloating of the abdomen (belly),3-Severity,,Distensión del abdomen (panza),Cuál fue la GRAVEDAD de su HINCHAZÓN DEL ABDOMEN (PANZA) en su PEOR,,Abdominal distension,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Blurry vision,3-Severity,,Visión borrosa,Cuál fue la GRAVEDAD de su VISIÓN BORROSAen su PEOR,,Blurred vision,Eye disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Body odor,3-Severity,,Olor corporal,Cuál fue la GRAVEDAD de su OLOR CORPORAL en su PEOR,,Body odor,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Breast area enlargement or tenderness,3-Severity,,Aumento de las mamas o sensibilidad en la zona,Cuál fue la GRAVEDAD de su AREA DEL PECHO AGRANDAMIENTO O SENSIBILIDAD en su PEOR,,Gynecomastia,Reproductive system and breast disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Constipation,3-Severity,X,El estreñimiento,Cuál fue la GRAVEDAD de su ESTREÑIMIENTO en su PEOR,,Constipation,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Cough,3-Severity,,Tos,Lo que fue la SEVERIDAD de la TOS en su PEOR,,Cough,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Decreased appetite,3-Severity,X,Disminución del apetito,Lo que fue la SEVERIDAD de la DISMINUCIÓN DEL APETITO en su PEOR,,Anorexia,Metabolism and nutrition disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Decreased sexual interest,3-Severity,,Disminución del interés sexual,Cuál fue la GRAVEDAD de su SEXUAL DISMINUCIÓN DEL INTERÉS en su PEOR,,Libido decreased,Psychiatric disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Difficulty getting or keeping an erection,3-Severity,,Dificultad en conseguir o mantener una erección,Cuál fue la GRAVEDAD de su DIFICULTAD EN CONSEGUIR O MANTENER UNA ERECCIÓN en su PEOR,,Erectile dysfunction,Reproductive system and breast disorders,male,Ninguno , Leve , Moderado , Grave , Muy grave , No es sexualmente activo , Prefiere no contestar
,Difficulty swallowing,3-Severity,,Dificultad para tragar,Cuál fue la GRAVEDAD de su DIFICULTAD PARA TRAGAR en su PEOR,,Dysphagia,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Dizziness,3-Severity,,Mareos,Lo que fue la SEVERIDAD de sus MAREOS en su PEOR,,Dizziness,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Dry mouth,3-Severity,X,Sequedad en la boca,Lo que fue la SEVERIDAD de A BOCA SECA en su PEOR,,Dry mouth,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Dry skin,3-Severity,,Piel seca,Cuál fue la GRAVEDAD de su PIEL SECA en su PEOR,,Dry skin,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,"Fatigue, tiredness, or lack of energy",3-Severity,X,"Fatiga, cansancio o falta de energía","Cuál fue la GRAVEDAD de su fFATIGA, CANSANCIO O FALTA DE ENERGÍA en su PEOR",,Fatigue,General disorders and administration site conditions,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Feelings that nothing could cheer you up,3-Severity,,Sentimientos que nada podía animarle,Cuál fue la GRAVEDAD de su SENTIMIENTOS QUE NADA PUEDE USTED CHEER UP en su PEOR,,Depression,Psychiatric disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,"Hand-foot syndrome (a rash of the hands or feet that can cause cracking, peeling, redness, or pain)",3-Severity,,"El síndrome mano-pie (una erupción de las manos o los pies que puede causar grietas, descamación, enrojecimiento o dolor)","Cuál fue la GRAVEDAD de su MANO-PIE SÍNDROME (UNA ERUPCIÓN DE LAS MANOS O PIES QUE PUEDEN CAUSAR GRIETAS, DESCAMACIÓN, ENROJECIMIENTO O DOLOR) en su PEOR",,Palmar-plantar erythrodysesthesia syndrome,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Headache,3-Severity,X,Dolor de cabeza,Lo que fue la SEVERIDAD de su DOLOR DE CABEZA en su PEOR,,Headache,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Heartburn,3-Severity,,Acidez estomacal,Lo que fue la SEVERIDAD de la ACIDEZ en su PEOR,,Dyspepsia,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Hiccups,3-Severity,,El hipo,Cuál fue la GRAVEDAD de su HIPO en el PEOR,,Hiccups,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Hoarse voice,3-Severity,,Voz ronca,Lo que fue la SEVERIDAD de su VOZ RONCA en su PEOR,,Hoarseness,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Hot flashes,3-Severity,,Sofocos,Lo que fue la SEVERIDAD de LOS SOFOCOS en su PEOR,,Hot flashes,Vascular disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,"Insomnia (including difficultly falling asleep, staying asleep, or waking up early)",3-Severity,X,"Insomnio (incluyendo dificultad para dormirse, quedarse dormido o despertar precoz)","Cuál fue la GRAVEDAD de su INSOMNIO (INCLUYENDO DIFICULTAD PARA DORMIRSE, QUEDARSE DORMIDO O DESPERTAR TEMPRANO) en su PEOR",,Insomnia,Psychiatric disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Itchy skin,3-Severity,,Picazón en la piel,Cuál fue la GRAVEDAD de su PICAZÓN EN LA PIEL en su PEOR,,Pruritus,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Mouth or throat sores,3-Severity,X,Llagas en la boca o la garganta,Cuál fue la GRAVEDAD de su BOCA O GARGANTA LLAGAS en su PEOR,,Mucositis oral,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Nausea,3-Severity,X,Náuseas,Lo que fue la SEVERIDAD de las NÁUSEAS en su PEOR,,Nausea,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Nosebleeds,3-Severity,,Las hemorragias nasales,Cuál fue la SEVERIDAD de sus SANGRADOS POR LA NARIZ en su PEOR,,Epistaxis,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Numbness or tingling in your hands or feet,3-Severity,X,Entumecimiento o cosquilleo en las manos o los pies,Cuál fue la GRAVEDAD de su U HORMIGUEO ENTUMECIMIENTO DE LAS MANOS SUS PIES O en su PEOR,,Peripheral sensory neuropathy,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Pain,3-Severity,X,Dolor,Cuál fue la SEVERIDAD de su DOLOR en su PEOR,,Pain,General disorders and administration site conditions,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Pain during vaginal sex,3-Severity,,El dolor durante el sexo vaginal,Cuál fue la SEVERIDAD de su DOLOR DURANTE EL SEXO VAGINAL SEXO en su PEOR,,Dyspareunia,Reproductive system and breast disorders,female,Ninguno , Leve , Moderado , Grave , Muy grave , No es sexualmente activo , Prefiere no contestar
,Pain in the abdomen (belly area),3-Severity,,Dolor en el abdomen (área del vientre),Cuál fue la SEVERIDAD de su DOLOR EN EL ABDOMEN (PANZA AREA) en su PEOR,,Abdominal pain,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Pounding or racing heartbeat (palpitations),3-Severity,,Latidos fuertes o rápidos latidos del corazón (palpitaciones),"Cuál fue la SEVERIDAD de sus LATIDOS FUERTES O RÁPIDOS LATIDOS CARDÍACOS (PALPITACIONES), en su PEOR",,Palpitations,Cardiac disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Problems with concentration,3-Severity,X,Problemas con la concentración,Cuál fue la SEVERIDAD de sus PROBLEMAS CON LA CONCENTRACIÓN en su PEOR,,Concentration impairment,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Problems with memory,3-Severity,,Problemas con la memoria,Cuál fue la SEVERIDAD de sus PROBLEMAS CON LA MEMORIA en su PEOR,,Memory impairment,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Problems with tasting food or drink,3-Severity,X,Problemas con la degustación de alimentos o de bebidas,Cuál fue la GRAVEDAD de su PROBLEMAS CON DEGUSTACIÓN DE ALIMENTOS O BEBIDAS en el PEOR,,Dysgeusia,Nervous system disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Sad or unhappy feelings,3-Severity,X,Triste o infeliz sentimientos,Cuál fue la GRAVEDAD de su TRISTE O INFELIZ SENTIMIENTOS EN EL PEOR,,Depression,Psychiatric disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Shivering or shaking chills,3-Severity,,Escalofríos o escalofríos,Cuál fue la GRAVEDAD de su O ESCALOFRÍOS TEMBLANDO en su PEOR,,Chills,General disorders and administration site conditions,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Shortness of breath,3-Severity,X,Dificultad para respirar,Cuál fue la GRAVEDAD de su FALTA DE AIRE en su PEOR,,Dyspnea,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Skin burns from radiation,3-Severity,,Quemaduras en la piel de la radiación,Cuál fue la SEVERIDAD de sus QUEMADURAS DE LA PIEL POR RADIACIÓN en su PEOR,,Dermatitis radiation,"Injury, poisoning and procedural complications",both,Ninguno , Leve , Moderado , Grave , Muy grave , No aplica,
,Unexpected or excessive sweating during the day or nighttime (not related to hot flashes),3-Severity,,Inesperados o sudoración excesiva durante el día o la noche (no relacionado con sofocos),Cuál fue la GRAVEDAD de su INESPERADA O SUDORACIÓN EXCESIVA DURANTE EL DIA O NOCHE (NO RELACIONADOS CON SOFOCOS) en su PEOR,,Hyperhidrosis,Skin and subcutaneous tissue disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Vaginal dryness,3-Severity,,La sequedad vaginal,Lo que fue la SEVERIDAD de su RESEQUEDAD VAGINAL en su PEOR,,Vaginal dryness,Reproductive system and breast disorders,female,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Vomiting,3-Severity,X,Vómitos,Cuál fue la GRAVEDAD de su VÓMITO en su PEOR,,Vomiting,Gastrointestinal disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Watery eyes (tearing),3-Severity,,Ojos llorosos (lagrimeo),Cuál fue la SEVERIDAD de sus OJOS LLOROSOS (LAGRIMEO) en su PEOR,,Watering eyes,Eye disorders,both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Wheezing (whistling noise in the chest with breathing),3-Severity,,Sibilancias (silbido en el pecho con la respiración),Cuál fue la GRAVEDAD de su SIBILANCIAS (SILBIDO EN EL PECHO CON LA RESPIRACIÓN) en su PEOR,,Wheezing,"Respiratory, thoracic and mediastinal disorders",both,Ninguno , Leve , Moderado , Grave , Muy grave,,
,Headache,4-Interference,X,Dolor de cabeza,Cuánto ganó su INTERFERIR DOLOR DE CABEZA con la o las actividades diarias habituales,,Headache,Nervous system disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,"Aching joints (such as elbows, knees, shoulders)",4-Interference,,"Dolor en las articulaciones (como los codos, rodillas, hombros)","Cuánto DOLOR EN LAS ARTICULACIONES (COMO LOS CODOS, RODILLAS, HOMBROS) interfieren con su diario o actividades habituales",,Arthralgia,Musculoskeletal and connective tissue disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Aching muscles,4-Interference,,Dolores musculares,Cuánto DOLOR MUSCULAR INTERFERIR con su diario o actividades habituales,,Myalgia,Musculoskeletal and connective tissue disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Anxiety,4-Interference,X,Ansiedad,Cuánto ANSIEDAD INTERFERIR con sus actividades habituales o por día,,Anxiety,Psychiatric disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Arm or leg swelling,4-Interference,X,Brazo o la inflamación de las piernas,Cuánto O EDEMA INTERFERIR con sus actividades habituales o por día,,Edema limbs,General disorders and administration site conditions,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Blurry vision,4-Interference,,Visión borrosa,Cuánto VISIÓN BORROSA INTERFERIR con sus actividades habituales o por día,,Blurred vision,Eye disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Cough,4-Interference,,Tos,Cuánto TOS INTERFERIR con sus actividades habituales o por día,,Cough,"Respiratory, thoracic and mediastinal disorders",both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Decreased appetite,4-Interference,X,Disminución del apetito,Cuánto DISMINUCIÓN DEL APETITO INTERFERIR con sus actividades habituales o por día,,Anorexia,Metabolism and nutrition disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Dizziness,4-Interference,,Mareos,Cuánto MAREOS INTERFERIR con sus actividades habituales o por día,,Dizziness,Nervous system disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,"Fatigue, tiredness, or lack of energy",4-Interference,X,"Fatiga, cansancio o falta de energía","Cuánto FATIGA, CANSANCIO, FALTA O DE ENERGÍA INTERFERIR con sus actividades habituales o por día",,Fatigue,General disorders and administration site conditions,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
,Feelings that nothing could cheer you up,4-Interference,,Sentimientos que nada podía animarle,Cuánto ENTIMIENTO QUE NADA PODÍA ANIMARLE INTERFERIR con sus actividades habituales o por día,,Depression,Psychiatric disorders,both,"No, en absoluto ", Un poco , Bastante más , Mucho , Muy mucho,,
