llt_code,llt_name,pt_code,llt_whoart_code,llt_harts_code,llt_costart_sym,llt_icd9_code,llt_icd9cm_code,llt_icd10_code,llt_currency,llt_jart_code
10003740,Atención disminuida,10013496,,,,,,,Y,33415
10003744,Actitud modificada,10034719,,,PERSON DIS,,,,Y,
10003978,Dolor de espalda,10003988,717004,,PAIN BACK,,,,Y,74405
10003988,Dolor de espalda,10003988,717001,3885,PAIN BACK,,,,Y,744
10003993,Dolor de espalda,10003988,,,,,,,Y,
10004082,Calvicie,10001760,2006,,ALOPECIA,,,,Y,59403
10004981,Espinillas,10000496,,,ACNE,,,,Y,
10005032,Calambres en la vejiga,10005063,,,,,,,Y,83403
10005045,Incapacidad para vaciar la vejiga,10046555,157006,,URIN RETENT,,,,Y,71001
10005046,Incontinencia vesical,10046543,156007,,INCONTIN URIN,,,,Y,70905
10005063,Dolor de vejiga urinaria,10005063,,,PAIN,,,,Y,
10005071,Retención vesical,10046555,157005,,URIN RETENT,,,,Y,71003
10005124,Nariz sangrante,10015090,,,EPISTAXIS,,,,Y,
10005169,Ceguera,10005169,232001,725,BLIND,,,,Y,866
10005181,Ceguera nocturna,10029404,234001,,BLIND NIGHT,,,,Y,887
10005264,Sensación de estar hinchado,10000060,,,,,,,Y,
10005265,Abultamiento,10000060,285008,,FLATUL,,,,Y,84104
10005886,Visión borrosa,10047513,,205,AMBLYOPIA,,,,Y,
10005887,Borrosidad de ojos,10047513,,,,,,,Y,
10005888,Visión borrosa,10047513,,,,,,,Y,
10005902,Olor corporal,10040904,1392001,,,,,,Y,2482
10005905,Olor corporal alterado,10040904,,,,,,,Y,78401
10006002,Dolor óseo,10006002,1347004,3895,PAIN BONE,,,,Y,228302
10006298,Dolor de mama,10006298,1839001,3900,PAIN BREAST,,,,Y,68320
10006332,Falta de aliento,10013968,514003,,DYSPNEA,,,,Y,26902
10006338,Dificultad de la respiración,10013968,514008,,DYSPNEA,,,,Y,26905
10006345,Dificultad al respirar,10013968,,,,,,,Y,
10006373,Uñas frágiles,10048886,20008,,,,,,Y,65708
10006451,Bronquitis,10006451,805001,810,BRONCHITIS,,,,Y,131
10006464,Broncoconstricción,10006482,,,,,,,Y,
10006482,Broncoespamo,10006482,511001,812,ASTHMA,,,,Y,132
10006502,Cardenal,10050584,459004,,ECCHYMOSIS,,,,Y,34905
10006504,Cardenales,10050584,,,,,,,Y,
10006634,Quemadura,10053615,1809001,,,,,,Y,
10007031,Dolor de pantorrilla,10033425,1439003,,,,,,Y,259401
10008296,Dolor cervical,10028836,717011,,,,,,Y,74409
10008406,Cambio de carácter,10034719,192003,,,,,,Y,41204
10008417,Queilitis,10008417,270001,980,CHEILITIS,,,,Y,252
10008461,Dolor pectoral,10008479,718009,,PAIN CHEST,,,,Y,15201
10008465,Ardor de pecho,10008479,,,,,,,Y,
10008469,Malestar torácico,10008469,718003,,PAIN CHEST,,,,Y,15214
10008479,Dolor torácico,10008479,718001,,PAIN CHEST,,,,Y,
10008531,Escalofrío,10008531,731004,990,CHILLS,,,,Y,6402
10009165,Estómago revuelto,10028813,,,,,,,Y,
10009850,Penetración dolorosa,10013941,,,DYSPAREUNIA,,,,Y,
10009881,Cólico,10000081,,,PAIN,,,,Y,
10010101,Comedón,10000496,,,,,,,Y,29902
10010249,Concentración alterada,10013496,1127001,,THINKING ABNORM,,,,Y,2110
10010250,Deterioro de la concentración,10013496,,,,,,,Y,
10010251,Pérdida de concentración,10013496,,,,,,,Y,211001
10010300,Confusión,10010305,92001,1180,CONFUS,,,,Y,296
10010305,Estado confusional,10010305,92005,,,,,,Y,29603
10010765,Conciencia anormal,10012373,,,,,,,Y,28802
10010768,Disminución del nivel de conciencia,10012373,151009,,,,,,Y,28814
10011286,Calambre abdominal,10000081,268012,,PAIN ABDO,,,,Y,81219
10011293,Calambres,10028334,73008,,,,,,Y,
10011974,Visión nocturna disminuida,10029404,,,,,,,Y,
10012174,Deshidratación,10012174,370001,1365,DEHYDRAT,,,,Y,593
10012377,Estado depresivo,10012378,172006,,DEPRESSION,,,,Y,89705
10012378,Depresión,10012378,172001,1390,DEPRESSION,,,,Y,897
10012399,Trastorno depresivo,10012378,,,,,,,Y,
10012432,Dermatitis acneiforme,10012432,,,,,,,Y,
10012485,Dermatitis fotosensible,10034972,,,,,,,Y,25302
10012703,Diaforesis,10020642,43003,,SWEAT,,,,Y,74905
10012727,Diarrea,10012735,,1435,DIARRHEA,,787.91,,Y,
10012735,Diarrea,10012735,205001,,DIARRHEA,,,,Y,222
10012790,Digestión dificultosa,10013946,,,,,,,Y,
10012791,Dificultad para respirar,10013968,,,,,,,Y,
10012792,Dificultad para el enfoque de los ojos,10047513,,,VISION ABNORM,,,,Y,
10012804,Dificultad para dormir,10022437,,,,,,,Y,
10012980,Digestión alterada,10013946,279004,,DYSPEPSIA,,,,Y,38409
10013036,Diplopía,10013036,241001,1450,DIPLOPIA,368.2,368.2,,Y,807
10013069,Secreción vaginal,10046901,,,LEUKORRHEA,,,,Y,
10013075,Cambio de color de las uñas,10028692,,,NAIL DIS,,,,Y,
10013080,Cambio de color de la orina,10008796,,,URIN ABNORM,,,,Y,
10013239,Trastorno de las uñas,10028694,,,NAIL DIS,,,,Y,
10013269,Trastorno del habla,10041466,,,SPEECH DIS,,,,Y,
10013276,Trastorno dental,10044034,,,TOOTH DIS,,,,Y,
10013480,Abdomen distendido,10000060,,,,,,,Y,
10013483,Voz distorsionada,10013952,,,,,,,Y,
10013580,Mareado,10013573,,,,,,,Y,
10013582,Mareos,10013573,,,,,,,Y,
10013614,Visión doble,10013036,,,,,,,Y,
10013635,Sudores copiosos,10020642,,,,,,,Y,
10013639,Goteo de orina,10046543,,,,,,,Y,
10013774,Ojo seco,10013774,,1488,,,,,Y,
10013778,Ojos secos,10013774,943003,,DRY EYE,,,,Y,94502
10013794,Sequedad de boca,10013781,,,DRY MOUTH,,,,Y,
10013796,Sequedad vaginal,10047791,,,VAGINITIS,,,,Y,
10013911,Disgeusia,10013911,267009,,,,,,Y,85513
10013941,Dispareunia,10013941,848001,1530,DYSPAREUNIA,625,625,,Y,511
10013944,Dispareunia NEOM,10013941,,,,,,,Y,
10013946,Dispepsia,10013946,279001,1535,DYSPEPSIA,,,,Y,384
10013950,Disfagia,10013950,280001,1540,DYSPHAGIA,787.2,787.2,,Y,59
10013952,Disfonía,10013952,103001,,VOICE ALTERAT,,,,Y,66
10013963,Disnea,10013968,,1545,DYSPNEA,786,,,Y,
10013968,Disnea,10013968,514001,,DYSPNEA,,,,Y,269
10013992,Dolor de oído,10014020,260001,,,,,,Y,2523
10013996,Zumbido en oídos,10043882,264006,,TINNITUS,,,,Y,35607
10014001,Chasquidos en el oído,10043882,,,TINNITUS,,,,Y,
10014018,Ruidos en oídos,10043882,264003,,TINNITUS,,,,Y,35604
10014020,Dolor de oídos,10014020,260003,3915,PAIN EAR,,,,Y,252301
10014023,Pitido en oídos,10043882,264004,,TINNITUS,,,,Y,35605
10014024,Ruido en oídos,10043882,264005,,TINNITUS,,,,Y,35606
10014037,Dolor de oídos,10014020,,,PAIN EAR,,,,Y,342
10014214,Edema de brazos,10030124,,,,,,,Y,
10014230,Edema de piernas,10030124,,,EDEMA PERIPH,,,,Y,
10014236,Edema de extremidades,10030124,,,EDEMA PERIPH,,,,Y,
10014239,Edema de piernas,10030124,,,,,,,Y,
10014251,Edema periférico,10030124,,,EDEMA PERIPH,,,,Y,
10014263,Pies edematosos,10030124,,,,,,,Y,
10014323,Eyaculación anormal,10014326,,,EJACULAT ABNORM,,,,Y,
10014326,Trastorno de la eyaculación,10014326,1271001,,EJACULAT ABNORM,,,,Y,2302
10014542,Emesis,10047700,228003,,VOMIT,,,,Y,6301
10014842,Aumento de tamaño del abdomen,10000060,,,ABDO ENLARGE,,,,Y,
10015015,Ardor epigástrico,10013946,,,DYSPEPSIA,,,,Y,
10015016,Molestia epigástrica,10013946,,,DYSPEPSIA,,,,Y,
10015018,Plenitud epigástrica,10000060,,,,,,,Y,38411
10015090,Epistaxis,10015090,515001,1820,EPISTAXIS,784.7,784.7,,Y,769
10015117,Erección disminuida,10061461,182004,,IMPOTENCE,,,,Y,82103
10015118,Insuficiencia eréctil,10061461,,,,,,,Y,
10015590,Sudoración excesiva,10020642,,,,,,,Y,
10015591,Exceso de lágrimas,10023644,,,,,,,Y,
10015667,Agotamiento,10016256,716008,,ASTHENIA,,,,Y,86405
10015886,Sensación de picor en las extremidades,10037087,,,,,,,Y,56410
10015906,Dolor de ojo,10015958,,,,,,,Y,
10015921,Sequedad del ojo,10013774,,,,,,,Y,
10015924,Moscas volantes,10028623,,,VITREOUS DIS,,,,Y,
10015958,Dolor ocular,10015958,244001,3920,PAIN EYE,,,,Y,123
10015959,Ojo rojo doloroso,10015958,,,,,,,Y,
10015968,Dolor a la palpación del ojo,10015958,,,,,,,Y,
10015974,Dolor en el globo ocular,10015958,,,,,,,Y,
10016011,Ojos sensibles a la luz solar,10034960,,,,,,,Y,
10016012,Pinchazos en los ojos,10015958,,,,,,,Y,
10016015,Ojos acuosos,10023644,,,LACRIMATION DIS,,,,Y,
10016046,Congestión facial,10016825,,,,,,,Y,
10016059,Dolor facial,10016059,,,,,,,Y,
10016092,Incontinencia fecal,10016092,107001,,INCONTIN FECAL,,,,Y,827
10016252,Fatigabilidad,10016256,,,ASTHENIA,,,,Y,80007
10016256,Fatiga,10016256,724001,,ASTHENIA,,,,Y,800
10016296,Incontinencia fecal,10016092,,2890,INCONTIN FECAL,,,,Y,
10016310,Incontinencia de heces,10016092,,,INCONTIN FECAL,,,,Y,
10016323,Sensación de ansiedad,10002855,,,,,,,Y,
10016326,Sensación de frío,10016326,1705007,,,,,,Y,
10016334,Sensación de calor,10016334,,,,,,,Y,
10016348,Sensación de plenitud en abdomen,10000060,,,,,,,Y,
10016349,Sensación de plenitud gastrointestinal,10000060,,,,,,,Y,
10016350,Sensación de sofoco,10060800,,,,,,,Y,84315
10016355,Sensación de orina residual,10060695,,,,,,,Y,74201
10016361,Sentirse mareado,10028813,728006,,NAUSEA,,,,Y,80511
10016379,Sensación de mareo,10013573,,,,,,,Y,
10016558,Fiebre,10037660,725001,1945,FEVER,,,,Y,754
10016752,Sofoco,10060800,,,VASODILAT,,,,Y,
10016758,Visión relampagueante,10034962,,,,,,,Y,
10016766,Flatulencia,10016766,285001,2030,FLATUL,,,,Y,841
10016769,Flato,10016766,285005,,FLATUL,,,,Y,84109
10016778,Moscas volantes,10028623,,,,,,,Y,
10016779,Moscas volantes,10028623,,,VITREOUS DIS,,,,Y,
10016820,Sofoco,10060800,,,VASODILAT,,,,Y,
10016821,Enrojecido,10016825,,,,,,,Y,
10016824,Piel enrojecida,10016825,,,,,,,Y,
10016825,Rubefacción,10016825,207001,,VASODILAT,,782.62,,Y,648
10016826,Rubefacción de la cara,10016825,,,,,,,Y,
10016968,Edema de pie,10030124,,,,,,,Y,
10016974,Dolor de pie,10033425,,,,,,,Y,
10016980,Úlcera en el pie,10040943,,,,,,,Y,
10017060,Tendencia al olvido,10027175,164005,,AMNESIA,,,,Y,22605
10017366,Orina frecuente,10036018,,,URIN FREQUENCY,,,,Y,
10017367,Movimientos intestinales frecuentes,10017367,,,,,,,Y,
10017467,Plenitud abdominal,10000060,285006,,FLATUL,,,,Y,84105
10017638,Dolor de la vesícula biliar,10017638,,,PAIN BIL,,,,Y,
10017735,Gas,10016766,,,,,,,Y,
10017738,Gas en estómago,10016766,,,ERUCTAT,,,,Y,
10017739,Dolor por gases intestinales,10016766,,,PAIN ABDO,,,,Y,
10017743,Gases abdominales,10016766,,,,,,,Y,
10017745,Jadeo,10013968,514004,,DYSPNEA,,,,Y,26901
10017953,Plenitud gastrointestinal,10000060,,2047,,,,,Y,
10017999,Dolor gastrointestinal,10017999,,3921,,,,,Y,
10018241,Dolor GI,10017999,,,PAIN ABDO,,,,Y,
10018286,Dolor gingival,10018286,,,,,,,Y,1320
10018787,Dolor de encías,10018286,,,,,,,Y,
10018796,Dolor de barriga,10017999,,,,,,,Y,
10018800,Ginecomastia,10018800,346001,,GYNECOMASTIA,,,,Y,405
10018801,Ginecomastia,10018800,,2270,GYNECOMASTIA,,,,Y,
10019050,Adelgazamiento del pelo,10001760,2003,,ALOPECIA,,,,Y,59407
10019111,Síndrome de mano y pie,10033553,,,,,,,Y,1324
10019116,Dolor de mano,10033425,,,,,,,Y,
10019121,Hinchazón de mano,10030124,,,,,,,Y,
10019195,Sensación de plenitud cefálica,10019211,109007,,HEADACHE,,,,Y,50810
10019198,Dolor de cabeza,10019211,109008,,HEADACHE,,,,Y,50807
10019200,Tensión de cabeza,10019211,109009,,HEADACHE,,,,Y,50809
10019204,Palpitaciones en la cabeza,10019211,,,,,,,Y,50814
10019297,Latidos fuertes,10033557,221004,,PALPITAT,,,,Y,41304
10019313,Palpitaciones cardiacas,10033557,221005,,PALPITAT,,,,Y,41305
10019362,Sudoración copiosa,10020642,,,,,,,Y,
10019561,Hemorragia nasal,10015090,,,EPISTAXIS,,,,Y,
10020037,Hipo,10020039,300003,,HICCUP,786.8,786.8,,Y,36101
10020197,Habón urticarial,10046735,44005,,URTICARIA,,,,Y,49501
10020201,Ronquera,10013952,103004,,VOICE ALTERAT,,,,Y,6603
10020468,Hambre de aire,10013968,,,HYPERVENTIL,,,,Y,
10020613,Hiperemesis,10047700,228004,,VOMIT,,,,Y,6303
10020625,Hiperexcitabilidad,10001497,,,,,,,Y,
10020642,Hiperhidrosis,10020642,43004,,SWEAT,780.8,780.8,,Y,74903
10020715,Hiperpigmentación de piel,10040865,36004,,SKIN DISCOLOR,,,,Y,78703
10021013,Hipohidrosis,10021013,1298003,,,,,,Y,236601
10021525,Perturbación de la atención,10013496,,,,,,,Y,
10021527,Sensación de muerte inminente,10002855,,,,,,,Y,
10021550,Impotencia,10061461,182001,2885,IMPOTENCE,,,,Y,821
10021552,Impotente,10061461,,,,,,,Y,
10021573,Incapacidad para mantener la erección,10061461,,,,,,,Y,
10021574,Incapacidad para alcanzar el orgasmo,10002652,,,,,,,Y,
10021635,Vaciamiento incompleto de la vejiga,10060695,,,,,788.21,,Y,
10021638,Micción incompleta,10060695,,,URIN RETENT,,,,Y,
10021640,Incontinencia fecal,10016092,,,INCONTIN FECAL,,,,Y,
10021641,Incontinencia de heces,10016092,,,,787.6,787.6,,Y,
10021642,Incontinencia urinaria,10046543,,,,788.3,788.3,,Y,
10021643,Incontinencia urinaria,10046543,,,INCONTIN URIN,,,,Y,
10021706,Indigestión,10013946,279011,,DYSPEPSIA,,,,Y,38408
10021777,Uña de pie encarnada e infectada,10034016,,,,,,,Y,
10021926,Infertilidad,10021926,,,,,,,Y,
10022077,Infiltración en la zona de inyección,10022062,,,,,,,Y,
10022095,Reacción en la zona de inyección,10022095,58001,2950,INJECT SITE REACT,,,,Y,634
10022437,Insomnio,10022437,183001,2955,INSOMNIA,,,,Y,822
10022992,Menstruación irregular,10027339,,,,,,,Y,
10022993,Periodos irregulares,10027339,,,,,,,Y,
10022998,Irritabilidad,10022998,188006,,NERVOUSNESS,,,,Y,42106
10023000,Irritable,10022998,,,,,,,Y,
10023082,Picor,10037087,,,,,,,Y,
10023083,Picor quemante,10037087,,,,,,,Y,56403
10023084,Picazón,10037087,24003,,,,,,Y,56401
10023087,Picor en ambas manos,10037087,,,,,,,Y,
10023089,Comezón,10037087,,,,,,,Y,
10023091,Picor en piernas,10037087,,,,,,,Y,
10023093,Picor en cuero cabelludo,10037087,,,,,,,Y,
10023145,Calambre mandibular,10044684,,,,,,,Y,16603
10023158,Espasmo mandibular,10044684,,,,,,,Y,16602
10023197,Dolor articular,10003239,63004,,ARTHRALGIA,,,,Y,11604
10023215,Derrame articular,10023215,65007,,ARTHROSIS,,,,Y,11702
10023217,Inflamación articular,10003246,64004,,ARTHRITIS,,,,Y,11402
10023222,Dolor articular,10003239,63005,,ARTHRALGIA,,,,Y,11603
10023232,Hinchazón articular,10023232,,,,,,,Y,
10023477,Dolor de rodilla,10003239,,,PAIN,,,,Y,
10023552,Respiración costosa,10013968,,,,,,,Y,
10023848,Dolor laríngeo,10068319,,,,,,,Y,25402
10023874,Laringitis,10023874,521001,3100,LARYNGITIS,,,,Y,254
10023922,Dolor de laringe,10068319,1648001,,,,,,Y,2592
10024125,Calambres en la pierna,10028334,,,CRAMPS LEG,,,,Y,
10024127,Edema de pierna,10030124,,,,,,,Y,
10024129,Edema de piernas,10030124,,,,,,,Y,
10024130,Dolor de pierna,10033425,1439001,,,,,,Y,2594
10024419,Libido disminuida,10024419,184001,3210,LIBIDO DEC,,,,Y,901
10024461,Mareo,10013573,,,,,,,Y,
10024490,Mareado,10013573,,,DIZZINESS,,,,Y,86901
10024492,Vahído,10013573,,,,,,,Y,
10024561,Dolor de labio,10024561,,,,,,,Y,25206
10024564,Enrojecimiento labial,10008417,,,,,,,Y,25204
10024568,Úlcera de labio,10024561,,,,,,,Y,25202
10024569,Dolor labial,10024561,270003,,,,,,Y,
10024703,Dolor de hígado,10019705,,,,,,,Y,
10024798,Dolor en fosa renal,10003988,621003,,PAIN BACK,,,,Y,47803
10024838,Intestinos sueltos,10012735,,,,,,,Y,
10024890,Dolor de la parte baja de la espalda,10003988,,,,,,,Y,
10024891,Dolor de la parte baja de la espalda,10003988,,,,,,,Y,
10024946,Úlceras de las extremidades inferiores,10040943,,,,,,,Y,105101
10024988,Lumbago,10003988,,,PAIN BACK,724.2,724.2,,Y,
10024998,Dolor lumbar,10003988,717010,,,,,,Y,74408
10025423,Erupción maculopapular,10037868,,,,,,,Y,
10025424,Erupción maculopapular,10037868,,4425,RASH MAC PAP,,,,Y,
10025503,Trastorno eréctil masculino,10061461,,,,,,,Y,
10027171,Déficit de memoria,10027175,,,,,,,Y,
10027172,Trastorno de la memoria,10027175,164006,,AMNESIA,,,,Y,22602
10027174,Memoria alterada,10027175,,,AMNESIA,,,,Y,
10027175,Alteración de la memoria,10027175,164003,,,,,,Y,22603
10027317,Menstruación irregular,10027339,,,METRORRHAGIA,,,,Y,
10027333,Irregularidad menstrual,10027339,657004,,METRORRHAGIA,,,,Y,20107
10027339,Menstruación irregular,10027339,,,,,,,Y,
10027346,Concentración mental disminuida,10013496,,,,,,,Y,211002
10027347,Dificultad para la concentración mental,10013496,,,,,,,Y,
10027349,Concentración mental alterada,10013496,,,,,,,Y,
10028021,Boca seca,10013781,218001,,DRY MOUTH,,,,Y,258
10028022,Sensación de sequedad en la boca,10013781,,,,,,,Y,25804
10028026,Irritación de boca,10042128,327003,,STOMATITIS,,,,Y,25709
10028030,Boca dolorosa,10031009,,,,,,,Y,25710
10028130,Mucositis oral,10042128,,,STOMATITIS,,,,Y,
10028287,Dolorimiento de masa muscular,10028411,73006,,MYALGIA,,,,Y,17404
10028313,Inflamación muscular,10028653,,,,,,,Y,
10028322,Dolor de masa muscular,10028411,73004,,MYALGIA,,,,Y,17405
10028332,Dolorimiento muscular,10028411,,,MYALGIA,,,,Y,
10028334,Espasmos musculares,10028334,,,,,,,Y,
10028350,Debilidad muscular,10028372,,,,,,,Y,
10028361,Dolor muscular,10028411,,,,,,,Y,
10028372,Pérdida de fuerza muscular,10028372,,,MYASTHENIA,,,,Y,
10028391,Dolor musculoesquelético,10028391,,,,,,,Y,
10028399,Heces pastosas,10012735,,,,,,,Y,22204
10028411,Mialgia,10028411,73001,3470,MYALGIA,,,,Y,174
10028653,Miositis,10028653,748001,3525,MYOSITIS,,,,Y,165
10028689,Cambios en las uñas,10028694,20007,,,,,,Y,65709
10028690,Deformación de las uñas,10028694,,,,,,,Y,65704
10028691,Discoloración ungueal,10028692,,,NAIL DIS,,,,Y,
10028692,Cambio de color de las uñas,10028692,1634001,,,,,,Y,2620
10028694,Trastorno de las uñas,10028694,20001,3530,NAIL DIS,,,,Y,657
10028723,Sangrado nasal,10015090,515005,,,,,,Y,76903
10028735,Congestión nasal,10028735,539011,,RHINITIS,,,,Y,76719
10028746,Moco nasal salpicado de sangre,10015090,,,,,,,Y,
10028748,Obstrucción nasal,10067775,,,,,,,Y,76713
10028771,Nariz tapada,10028735,,,RHINITIS,,,,Y,
10028822,Nauseoso,10028813,,,,,,,Y,
10028823,Nauseoso,10028813,,,,,,,Y,
10028828,Calambres en el cuello,10028334,,,,,,,Y,1028
10028836,Dolor de cuello,10028836,,3935,PAIN NECK,,,,Y,
10029181,Dolor de nervio,10029223,124003,,NEURALGIA,,,,Y,42401
10029216,Nerviosismo,10029216,188001,3665,NERVOUSNESS,799.2,799.2,,Y,421
10029223,Neuralgia,10029223,124001,3670,NEURALGIA,,,,Y,424
10029224,Neuralgia que afecta a la punta de los dedos,10029223,,,,,,,Y,
10029404,Ceguera nocturna,10029404,,735,BLIND NIGHT,368.6,368.6,,Y,
10029792,Sangrado de nariz,10015090,,,,,,,Y,
10029793,Sangrados de nariz,10015090,,,,,,,Y,
10029794,Congestión de nariz,10028735,539004,,RHINITIS,,,,Y,76708
10029864,Nistagmus,10029864,131001,3735,NYSTAGMUS,,,,Y,112
10029986,Embotamiento mental,10012373,,,THINKING ABNORM,,,,Y,
10030065,Pinchazos oculares,10015958,,,,,,,Y,
10030092,Olor corporal,10040904,,,BODY ODOR,,,,Y,
10030096,Edema de brazos,10030124,,,,,,,Y,
10030105,Edema de piernas,10030124,401004,,EDEMA PERIPH,,,,Y,2030
10030115,Edema de extremidades,10030124,401003,,,,,,Y,84904
10030117,Edema de piernas,10030124,,,,,,,Y,
10030121,Edema palmar,10030124,,,,,,,Y,84905
10030124,Edema periférico,10030124,401001,,EDEMA PERIPH,,,,Y,849
10030134,Pies edematosos,10030124,,,,,,,Y,
10030974,Sequedad de boca,10013781,218004,,DRY MOUTH,,,,Y,25803
10030990,Dolor de la mucosa oral,10031009,,,,,,,Y,25705
10030991,Enrojecimiento de la mucosa oral,10042128,,,,,,,Y,25706
10031009,Dolor bucal,10031009,,,,,,,Y,
10031011,Enrojecimiento oral,10042128,,,,,,,Y,25704
10031053,Dolor orbital,10015958,,,,,,,Y,12301
10031304,Otalgia,10014020,,,,388.7,388.7,,Y,
10033374,Dolor abdominal,10000081,,,PAIN ABDO,,,,Y,
10033379,Dolor en tobillo,10003239,,,PAIN,,,,Y,
10033380,Dolor de espalda,10003988,,,PAIN BACK,,,,Y,
10033381,Dolor detrás de los ojos,10015958,,,,,,,Y,
10033383,Dolor vesicourinario,10005063,,,PAIN,,,,Y,
10033385,Dolor de mama,10006298,,,PAIN BREAST,,,,Y,
10033387,Dolor de pecho,10008479,,,PAIN CHEST,,,,Y,
10033393,Dolor de oídos,10014020,,,PAIN EAR,,,,Y,
10033397,Dolor de ojo,10015958,,,PAIN EYE,,,,Y,
10033400,Dolor de pie,10033425,,,PAIN,,,,Y,
10033401,Dolor por gas,10016766,,,PAIN ABDO,,,,Y,
10033404,Dolor de encías,10018286,,,GINGIVITIS,,,,Y,
10033405,Dolor de cabeza,10019211,,,HEADACHE,,,,Y,
10033420,Dolor en tobillo,10003239,,,,,,,Y,
10033421,Dolor en brazo,10033425,,,,,,,Y,
10033422,Dolor en pantorrilla,10033425,,,,,,,Y,
10033423,Dolor en oído,10014020,,,,,,,Y,
10033424,Dolor en codo,10003239,,,,,,,Y,
10033425,Dolor en una extremidad,10033425,,3918,,,,,Y,
10033426,Dolor en los ojos,10015958,,,,,,,Y,
10033427,Dolor en cara,10016059,730006,,,,,,Y,68322
10033428,Dolor en los dedos de la mano,10033425,,,,,,,Y,
10033429,Dolor en pie,10033425,,,,,,,Y,
10033430,Dolor en mano,10033425,,,,,,,Y,
10033431,Dolor en talón,10033425,,,,,,,Y,
10033432,Dolor en cadera,10003239,,,,,,,Y,
10033434,Dolor en articulación,10003239,,,,719.4,719.4,,Y,
10033445,Dolor en rodilla,10003239,,,,,,,Y,
10033446,Dolor en pierna,10033425,,,,,,,Y,
10033447,Dolor en extremidad,10033425,1439005,,,729.5,729.5,,Y,
10033449,Dolor en testículos,10043345,,,,,,,Y,
10033451,Dolor en el pulgar,10033425,,,,,,,Y,
10033452,Dolor en dedo de pie,10033425,,,,,,,Y,
10033456,Dolor articular,10003239,,,ARTHRALGIA,,,,Y,
10033458,Dolor de rodilla,10003239,,,PAIN,,,,Y,
10033459,Dolor de piernas,10033425,1439004,,,,,,Y,259402
10033460,Lumbalgia,10003988,,,PAIN BACK,,,,Y,
10033464,Dolor de boca,10031009,,,STOMATITIS,,,,Y,
10033465,Dolor en la mucosa,10033371,,,,,,,Y,68310
10033466,Dolor en músculo,10028411,,,MYALGIA,,,,Y,
10033467,Dolor de cuello,10028836,,,PAIN NECK,,,,Y,
10033469,Dolor en nervio,10029223,,,NEURALGIA,,,,Y,
10033471,Dolor de extremidades,10033425,,,,,,,Y,
10033474,Dolor en la piel,10033474,,,,,,,Y,68313
10033476,Dolor oral,10031009,,,,,,,Y,
10033478,Dolor extenso de espalda,10003988,,,,,,,Y,
